name1,grass_pts_served1,grass_service_pts_won1,grass_pts_received1,grass_receiving_pts_won1,grass_aces1,hard_pts_served1,hard_service_pts_won1,hard_pts_received1,hard_receiving_pts_won1,hard_aces1,clay_pts_served1,clay_service_pts_won1,clay_pts_received1,clay_receiving_pts_won1,clay_aces1,name2,grass_pts_served2,grass_service_pts_won2,grass_pts_received2,grass_receiving_pts_won2,grass_aces2,hard_pts_served2,hard_service_pts_won2,hard_pts_received2,hard_receiving_pts_won2,hard_aces2,clay_pts_served2,clay_service_pts_won2,clay_pts_received2,clay_receiving_pts_won2,clay_aces2,grass_sample_size,hard_sample_size,clay_sample_size
Casper Ruud,0,0,0,0,0,318,218,331,122,27,448,299,460,174,26,Holger Rune,0,0,0,0,0,331,209,343,110,17,318,201,293,119,9,0,0,0
Marin Cilic,364,246,396,163,65,1485,932,1477,551,203,150,93,138,37,18,Andrey Rublev,338,235,353,143,36,1524,994,1586,614,173,613,377,598,243,28,0,0,0
Rafael Nadal,0,0,0,0,0,418,287,395,140,36,947,578,955,431,25,Alexander Zverev,0,0,0,0,0,1372,944,1497,553,214,549,353,592,254,37,0,0,0
Casper Ruud,57,31,48,14,2,909,556,880,314,64,921,606,1034,417,48,Marin Cilic,401,275,445,179,62,796,506,736,255,92,393,254,428,165,50,0,0,0
Rafael Nadal,0,0,0,0,0,386,276,421,155,36,1256,792,1259,563,44,Casper Ruud,0,0,0,0,0,1074,679,991,318,86,463,306,470,165,23,0,0,0
Novak Djokovic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tim Van Rijthoven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jannik Sinner,132,73,139,55,2,963,629,1014,400,68,685,404,695,273,22,Carlos Alcaraz,82,41,64,16,2,1245,777,1257,463,42,409,234,426,182,6,0,0,0
David Goffin,73,45,51,23,4,157,87,164,71,7,427,246,398,137,22,Frances Tiafoe,93,64,85,29,11,824,499,759,311,61,68,45,71,31,3,0,0,0
Cameron Norrie,126,87,130,58,4,1000,636,1088,444,69,396,255,399,147,20,Tommy Paul,0,0,0,0,0,1423,871,1474,566,83,438,267,494,179,21,0,0,0
Cristian Garin,0,0,0,0,0,186,117,203,74,11,611,366,643,270,21,Alex De Minaur,204,137,205,78,8,759,444,732,269,37,147,91,180,73,2,0,0,0
Nick Kyrgios,0,0,0,0,0,108,67,113,30,17,0,0,0,0,0,Brandon Nakashima,0,0,0,0,0,108,56,115,36,6,0,0,0,0,0,0,0,0
Taylor Fritz,0,0,0,0,0,151,109,142,50,7,109,53,83,38,3,Jason Kubler,0,0,0,0,0,83,54,78,27,3,0,0,0,0,0,0,0,0
Rafael Nadal,0,0,0,0,0,0,0,0,0,0,429,289,427,181,21,Botic Van De Zandschulp,0,0,0,0,0,446,300,469,171,40,0,0,0,0,0,0,0,0
Novak Djokovic,286,211,315,126,37,1741,1203,1813,715,195,854,539,918,410,39,Jannik Sinner,226,129,218,81,10,1615,1025,1630,622,86,366,196,363,139,9,0,0,0
Cameron Norrie,0,0,0,0,0,864,547,933,363,66,186,127,181,78,13,David Goffin,73,45,51,23,4,455,265,495,210,37,320,191,379,166,16,0,0,0
Nick Kyrgios,40,23,41,16,4,174,103,194,54,29,0,0,0,0,0,Cristian Garin,0,0,0,0,0,0,0,0,0,0,523,317,452,159,22,0,0,0
Rafael Nadal,0,0,0,0,0,82,61,104,46,7,905,550,910,399,29,Taylor Fritz,144,94,117,23,13,1208,790,1118,360,149,64,36,77,29,4,0,0,0
Novak Djokovic,475,349,554,228,51,1009,711,1132,479,134,987,631,1133,495,46,Cameron Norrie,278,195,273,98,11,1143,726,1196,461,80,413,243,418,142,11,0,0,0
Nick Kyrgios,0,0,0,0,0,149,96,137,33,24,0,0,0,0,0,Rafael Nadal,0,0,0,0,0,233,169,240,80,22,312,212,317,131,14,0,0,0
Novak Djokovic,72,57,77,34,9,38,29,51,27,5,246,163,318,135,9,Nick Kyrgios,0,0,0,0,0,103,72,105,27,23,0,0,0,0,0,0,0,0
Pablo Carreno Busta,96,58,69,20,5,576,363,555,214,43,168,106,191,66,4,Hubert Hurkacz,155,102,140,43,10,999,663,1049,362,135,99,68,98,30,11,0,0,0
Hubert Hurkacz,477,323,482,155,38,2064,1361,2039,712,280,253,166,261,80,22,Casper Ruud,57,31,48,14,2,1070,658,1023,366,68,960,622,1037,406,53,0,0,0
Pablo Carreno Busta,96,58,69,20,5,406,257,425,155,29,245,152,265,104,10,Daniel Evans,82,56,87,39,0,334,196,334,109,11,416,255,363,152,8,0,0,0
Hubert Hurkacz,53,33,63,17,4,187,119,178,58,23,0,0,0,0,0,Nick Kyrgios,40,23,41,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Casper Ruud,107,71,99,32,6,1115,750,1081,368,84,581,384,580,212,26,Felix Auger Aliassime,570,386,601,213,76,1094,723,1160,407,138,134,92,145,64,7,0,0,0
Pablo Carreno Busta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jack Draper,106,60,81,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0
