P1,P2,PointServer,PointWinner,P1Score,P2Score,SetNo
Rafael Nadal,John Isner,2,1,40,30,4
Rafael Nadal,John Isner,2,1,0,0,4
Rafael Nadal,John Isner,1,1,15,0,4
Rafael Nadal,John Isner,1,1,30,0,4
Rafael Nadal,John Isner,1,1,40,0,4
Rafael Nadal,John Isner,1,2,40,15,4
Rafael Nadal,John Isner,1,1,0,0,4
Rafael Nadal,John Isner,2,2,0,15,5
Rafael Nadal,John Isner,2,1,15,15,5
Rafael Nadal,John Isner,2,2,15,30,5
Rafael Nadal,John Isner,2,2,15,40,5
Rafael Nadal,John Isner,2,1,30,40,5
Rafael Nadal,John Isner,2,2,0,0,5
Rafael Nadal,John Isner,1,1,15,0,5
Rafael Nadal,John Isner,1,1,30,0,5
Rafael Nadal,John Isner,1,1,40,0,5
Rafael Nadal,John Isner,1,2,40,15,5
Rafael Nadal,John Isner,1,2,40,30,5
Rafael Nadal,John Isner,1,1,0,0,5
Rafael Nadal,John Isner,2,1,15,0,5
Rafael Nadal,John Isner,2,1,30,0,5
Rafael Nadal,John Isner,2,1,40,0,5
Rafael Nadal,John Isner,2,1,0,0,5
Rafael Nadal,John Isner,1,1,15,0,5
Rafael Nadal,John Isner,1,1,30,0,5
Rafael Nadal,John Isner,1,1,40,0,5
Rafael Nadal,John Isner,1,1,0,0,5
Rafael Nadal,John Isner,2,1,15,0,5
Rafael Nadal,John Isner,2,2,15,15,5
Rafael Nadal,John Isner,2,1,30,15,5
Rafael Nadal,John Isner,2,2,30,30,5
Rafael Nadal,John Isner,2,2,30,40,5
Rafael Nadal,John Isner,2,2,0,0,5
Rafael Nadal,John Isner,1,1,15,0,5
Rafael Nadal,John Isner,1,2,15,15,5
Rafael Nadal,John Isner,1,2,15,30,5
Rafael Nadal,John Isner,1,1,30,30,5
Rafael Nadal,John Isner,1,1,40,30,5
Rafael Nadal,John Isner,1,1,0,0,5
Rafael Nadal,John Isner,2,2,0,15,5
Rafael Nadal,John Isner,2,2,0,30,5
Rafael Nadal,John Isner,2,2,0,40,5
Rafael Nadal,John Isner,2,1,15,40,5
Rafael Nadal,John Isner,2,2,0,0,5
Rafael Nadal,John Isner,1,1,15,0,5
Rafael Nadal,John Isner,1,2,15,15,5
Rafael Nadal,John Isner,1,1,30,15,5
Rafael Nadal,John Isner,1,1,40,15,5
Rafael Nadal,John Isner,1,1,0,0,5
Rafael Nadal,John Isner,2,2,0,15,5
Rafael Nadal,John Isner,2,2,0,30,5
Rafael Nadal,John Isner,2,1,15,30,5
Rafael Nadal,John Isner,2,1,30,30,5
Rafael Nadal,John Isner,2,1,40,30,5
Rafael Nadal,John Isner,2,2,40,40,5
Rafael Nadal,John Isner,2,2,40,AD,5
Rafael Nadal,John Isner,2,2,0,0,5
Rafael Nadal,John Isner,1,1,15,0,5
Rafael Nadal,John Isner,1,2,15,15,5
Rafael Nadal,John Isner,1,1,30,15,5
Rafael Nadal,John Isner,1,2,30,30,5
Rafael Nadal,John Isner,1,1,40,30,5
Rafael Nadal,John Isner,1,1,0,0,5
Denis Gremelmayr,Nikolay Davydenko,0,0,0,0,1
Denis Gremelmayr,Nikolay Davydenko,2,2,0,15,1
Denis Gremelmayr,Nikolay Davydenko,2,2,0,30,1
Denis Gremelmayr,Nikolay Davydenko,2,1,15,30,1
Denis Gremelmayr,Nikolay Davydenko,2,1,30,30,1
Denis Gremelmayr,Nikolay Davydenko,2,2,30,40,1
Denis Gremelmayr,Nikolay Davydenko,2,2,0,0,1
Denis Gremelmayr,Nikolay Davydenko,1,1,15,0,1
Denis Gremelmayr,Nikolay Davydenko,1,1,30,0,1
Denis Gremelmayr,Nikolay Davydenko,1,2,30,15,1
Denis Gremelmayr,Nikolay Davydenko,1,1,40,15,1
Denis Gremelmayr,Nikolay Davydenko,1,1,0,0,1
Denis Gremelmayr,Nikolay Davydenko,2,2,0,15,1
Denis Gremelmayr,Nikolay Davydenko,2,2,0,30,1
Denis Gremelmayr,Nikolay Davydenko,2,2,0,40,1
Denis Gremelmayr,Nikolay Davydenko,2,2,0,0,1
Denis Gremelmayr,Nikolay Davydenko,1,1,15,0,1
Denis Gremelmayr,Nikolay Davydenko,1,2,15,15,1
Denis Gremelmayr,Nikolay Davydenko,1,1,30,15,1
