name,t_serve_total,t_serve_won,t_receive_total,t_receive_won,1_serve_total,1_serve_won,1_receive_total,1_receive_won,2_serve_total,2_serve_won,2_receive_total,2_receive_won,3_serve_total,3_serve_won,3_receive_total,3_receive_won,4_serve_total,4_serve_won,4_receive_total,4_receive_won,5_serve_total,5_serve_won,5_receive_total,5_receive_won,6_serve_total,6_serve_won,6_receive_total,6_receive_won,7_serve_total,7_serve_won,7_receive_total,7_receive_won,8_serve_total,8_serve_won,8_receive_total,8_receive_won,9_serve_total,9_serve_won,9_receive_total,9_receive_won,10_serve_total,10_serve_won,10_receive_total,10_receive_won,11_serve_total,11_serve_won,11_receive_total,11_receive_won,12_serve_total,12_serve_won,12_receive_total,12_receive_won,13_serve_total,13_serve_won,13_receive_total,13_receive_won,14_serve_total,14_serve_won,14_receive_total,14_receive_won,15_serve_total,15_serve_won,15_receive_total,15_receive_won,16_serve_total,16_serve_won,16_receive_total,16_receive_won,17_serve_total,17_serve_won,17_receive_total,17_receive_won,18_serve_total,18_serve_won,18_receive_total,18_receive_won
Tobias Kamke,4,3,4,4,20,12,21,5,12,4,16,5,8,3,5,3,4,2,11,5,11,8,7,1,5,3,3,0,2,2,6,1,10,7,11,2,6,4,4,2,2,2,0,0,7,6,10,4,7,5,4,2,4,1,2,1,6,4,6,4,3,1,3,0,4,3,12,4,3,2,8,2,1,0,4,1
Carlos Berlocq,0,0,0,0,47,31,47,12,31,19,35,16,16,6,12,4,19,10,19,5,18,9,24,6,10,7,4,1,10,8,14,7,18,12,23,8,16,5,9,2,3,0,1,1,14,9,22,9,11,6,15,1,11,7,2,1,11,6,23,5,12,6,2,1,32,18,9,3,18,5,6,1,14,8,3,1
Jan-Lennard Struff,0,0,0,0,25,14,25,14,14,12,11,4,11,7,14,8,12,2,7,4,9,4,10,2,4,2,8,4,2,2,3,1,14,5,12,4,7,4,6,1,2,2,4,2,5,4,9,6,13,9,9,1,5,2,3,1,10,7,14,6,6,3,3,1,11,7,17,9,7,4,8,3,4,2,9,3
Yuki Bhambri,5,3,5,0,28,20,30,9,20,8,21,12,8,3,9,3,8,5,9,2,15,9,18,2,5,4,3,0,5,2,7,1,12,5,18,3,10,6,5,2,1,0,0,0,8,2,16,2,13,8,6,3,4,1,2,0,14,7,5,2,6,3,5,2,15,12,5,1,12,7,4,0,3,0,1,1
Alexander Kudryavtsev,6,4,6,3,39,25,41,17,25,15,24,8,14,7,17,4,15,6,16,3,17,9,21,4,7,5,4,0,6,2,13,4,18,9,20,6,13,7,8,2,2,2,0,0,13,7,18,8,16,10,12,3,8,7,2,2,16,13,17,6,13,7,3,1,17,10,14,7,10,6,7,1,7,3,7,2
Jordan Thompson,28,19,26,8,102,57,104,36,57,39,68,17,45,30,36,12,39,26,51,11,48,31,41,13,15,10,12,3,26,17,40,15,44,29,39,12,27,14,22,5,5,5,3,0,38,23,42,14,29,22,29,7,18,12,8,3,37,24,36,15,19,11,12,2,44,23,42,12,23,14,30,11,21,11,12,6
Tatsuma Ito,13,9,13,4,46,29,48,17,29,15,31,5,17,8,17,8,15,9,26,11,22,10,14,4,9,3,8,4,9,7,15,4,16,8,21,7,15,13,8,3,6,2,4,1,10,4,18,4,21,10,12,2,4,3,6,1,16,9,14,7,14,3,7,2,18,12,30,11,12,8,19,9,6,4,11,2
Michael Russell,0,0,0,0,18,9,18,5,9,3,13,5,9,4,5,4,3,2,8,6,10,8,6,2,5,3,4,2,2,1,2,1,9,3,10,7,5,4,4,3,2,1,2,0,4,1,4,0,10,6,8,1,2,0,5,2,9,3,7,2,4,3,4,1,26,11,11,6,11,4,5,1,15,10,6,1
Yen-Hsun Lu,0,0,0,0,15,7,15,1,7,4,14,5,8,3,1,1,4,3,9,1,6,5,5,1,5,2,1,0,3,1,8,2,6,4,5,0,3,1,2,1,3,1,0,0,6,5,7,2,3,2,1,1,3,3,1,0,3,2,2,0,4,3,2,0,9,5,5,1,5,3,4,2,4,3,1,0
Andrey Kuznetsov,26,19,27,13,212,134,215,72,134,91,143,52,78,48,72,23,91,61,91,26,91,62,101,42,30,22,23,10,61,40,65,20,92,55,85,28,51,28,55,26,8,6,10,5,76,48,77,32,65,41,57,12,29,16,31,16,69,45,77,23,40,21,27,9,66,40,78,36,40,28,42,15,26,9,36,14
Andreas Haider-Maurer,5,3,6,1,21,18,21,3,18,9,18,1,3,1,3,2,9,7,17,2,10,8,2,0,2,1,2,1,7,5,15,2,10,7,4,0,3,3,1,0,1,0,1,1,9,7,6,0,6,2,1,1,0,0,0,0,4,2,0,0,4,3,1,0,8,8,1,0,8,5,1,0,0,0,0,0
Marius Copil,11,5,11,3,34,23,36,10,23,16,26,8,11,8,10,2,16,10,18,7,15,10,16,8,3,2,2,1,10,8,11,5,16,12,15,6,7,6,9,3,1,1,1,1,14,12,14,4,10,6,12,1,2,1,3,0,8,4,15,4,5,1,4,1,9,4,10,1,4,3,9,3,5,3,1,1
Matthias Bachinger,13,5,14,6,34,16,33,8,16,9,25,13,18,12,8,2,9,5,12,5,19,11,19,8,6,2,2,1,5,4,7,1,15,8,16,6,10,7,9,4,4,3,1,0,9,8,11,4,14,9,11,5,6,3,5,1,10,9,10,3,8,6,9,2,12,7,21,5,7,5,16,6,5,3,5,0
Guillermo Garcia-Lopez,17,9,17,8,103,69,101,40,69,43,61,17,34,19,40,19,43,27,44,15,45,32,38,14,15,12,19,9,27,15,29,11,48,31,39,14,25,19,24,12,3,2,9,5,43,31,36,10,36,28,26,7,8,4,16,8,40,26,29,10,12,9,15,4,40,26,42,16,26,19,26,13,14,10,16,8
Edouard Roger-Vasselin,0,0,0,0,21,13,21,9,13,10,12,6,8,3,9,4,10,9,6,3,6,4,11,1,5,4,4,3,9,8,3,1,5,4,13,4,6,3,2,0,1,0,3,1,5,4,10,3,4,2,6,3,3,2,2,0,3,3,6,2,4,2,5,1,8,6,14,7,6,2,7,4,2,2,7,3
Vera Zvonareva,0,0,0,0,18,9,17,8,9,8,9,2,9,5,8,5,8,5,7,2,6,3,5,3,4,3,5,3,5,1,5,2,6,3,4,2,6,0,5,2,1,0,3,2,7,5,4,1,3,2,5,2,6,4,3,1,4,1,4,1,5,3,4,2,13,9,4,2,9,4,2,0,4,2,2,1
Ons Jabeur,0,0,0,0,8,3,9,3,3,2,6,0,5,1,3,2,2,1,6,1,2,1,1,0,4,1,2,1,1,0,5,4,2,1,2,1,2,1,1,1,3,1,1,1,2,1,5,1,2,1,1,0,2,1,1,0,2,2,2,1,2,1,1,0,1,1,5,1,1,1,4,2,0,0,1,0
Olivia Rogowska,0,0,0,0,21,13,22,9,13,5,13,4,8,1,9,6,5,2,9,1,9,6,7,4,7,4,6,1,2,1,8,3,9,6,4,1,7,4,9,2,3,1,1,0,7,4,6,3,7,2,8,5,4,1,3,2,5,4,6,5,6,4,6,1,10,5,18,8,5,3,10,3,5,3,8,3
Kimiko Date-Krumm,0,0,0,0,11,8,11,6,8,2,5,1,3,1,6,2,2,2,4,1,7,6,5,4,2,0,2,1,2,2,3,1,6,3,2,0,1,0,5,2,2,0,1,1,3,2,3,2,3,1,3,1,1,1,2,1,2,2,4,0,3,2,2,1,5,3,3,1,3,0,2,1,2,0,1,0
Shuai Zhang,5,2,6,2,97,54,96,43,54,29,53,22,43,20,43,19,29,18,31,15,45,25,46,21,23,13,19,11,18,12,16,5,36,18,40,20,33,20,29,11,10,6,11,5,24,20,25,9,38,19,38,16,19,13,17,8,23,14,31,14,32,18,25,13,53,32,41,13,32,17,28,10,21,11,13,8
