surface,name1,pts_served1,service_pts_won1,pts_received1,receiving_pts_won1,aces1,name2,pts_served2,service_pts_won2,pts_received2,receiving_pts_won2,aces2,sample_size
Hard,Flavia Pennetta,589,299,579,252,16,Angelique Kerber,580,336,541,238,20,17
Hard,Simona Halep,927,497,957,459,27,Jelena Jankovic,983,546,1019,484,18,29
Hard,Dominika Cibulkova,381,210,367,155,5,Maria Sharapova,524,290,539,234,25,16
Hard,Agnieszka Radwanska,1001,551,1044,441,30,Garbine Muguruza,707,401,648,267,21,26
Hard,Victoria Azarenka,976,547,1022,522,25,Sloane Stephens,989,539,1036,444,19,33
Hard,Eugenie Bouchard,393,204,352,157,9,Ana Ivanovic,287,168,300,126,9,12
Hard,Na Li,690,387,737,334,25,Flavia Pennetta,488,246,446,201,25,17
Hard,Dominika Cibulkova,893,488,882,382,9,Simona Halep,527,256,490,205,14,24
Hard,Agnieszka Radwanska,1443,829,1423,684,56,Victoria Azarenka,1302,726,1412,736,34,46
Hard,Na Li,931,539,1039,490,29,Eugenie Bouchard,438,231,436,179,14,23
Hard,Dominika Cibulkova,1229,683,1235,553,15,Agnieszka Radwanska,1449,826,1498,665,37,41
Hard,Na Li,1142,628,1161,524,31,Dominika Cibulkova,1002,554,968,420,12,32
Clay,Garbine Muguruza,0,0,0,0,0,Pauline Parmentier,0,0,0,0,0,0
Clay,Maria Sharapova,263,167,262,124,18,Samantha Stosur,326,180,328,145,4,9
Clay,Carla Suarez Navarro,0,0,0,0,0,Ajla Tomljanovic,0,0,0,0,0,0
Clay,Eugenie Bouchard,60,32,60,20,0,Angelique Kerber,179,102,136,61,5,4
Clay,Svetlana Kuznetsova,184,93,218,97,6,Lucie Safarova,154,82,227,93,8,6
Clay,Simona Halep,0,0,0,0,0,Sloane Stephens,54,32,73,42,0,2
Clay,Sara Errani,354,197,314,145,1,Jelena Jankovic,525,298,510,244,17,17
Clay,Andrea Petkovic,0,0,0,0,0,Kiki Bertens,0,0,0,0,0,0
Clay,Maria Sharapova,70,43,83,36,1,Garbine Muguruza,52,21,40,13,0,2
Clay,Eugenie Bouchard,114,61,106,53,2,Carla Suarez Navarro,193,104,174,85,2,7
Clay,Simona Halep,87,46,126,57,1,Svetlana Kuznetsova,130,73,171,74,3,4
Clay,Andrea Petkovic,0,0,0,0,0,Sara Errani,0,0,0,0,0,0
Clay,Maria Sharapova,70,43,83,36,1,Eugenie Bouchard,122,57,119,49,2,4
Clay,Simona Halep,94,52,95,51,2,Andrea Petkovic,64,35,58,34,0,2
Clay,Maria Sharapova,327,182,308,123,13,Simona Halep,229,119,206,93,7,7
Grass,Eugenie Bouchard,0,0,0,0,0,Alize Cornet,0,0,0,0,0,0
Grass,Angelique Kerber,0,0,0,0,0,Maria Sharapova,0,0,0,0,0,0
Grass,Simona Halep,0,0,0,0,0,Zarina Diyas,0,0,0,0,0,0
Grass,Sabine Lisicki,0,0,0,0,0,Yaroslava Shvedova,0,0,0,0,0,0
Grass,Lucie Safarova,0,0,0,0,0,Tereza Smitkova,0,0,0,0,0,0
Grass,Kate Makarova,0,0,0,0,0,Agnieszka Radwanska,0,0,0,0,0,0
Grass,Petra Kvitova,0,0,0,0,0,Shuai Peng,0,0,0,0,0,0
Grass,Barbora Strycova,0,0,0,0,0,Caroline Wozniacki,0,0,0,0,0,0
Grass,Eugenie Bouchard,0,0,0,0,0,Angelique Kerber,0,0,0,0,0,0
Grass,Simona Halep,0,0,0,0,0,Sabine Lisicki,0,0,0,0,0,0
Grass,Lucie Safarova,0,0,0,0,0,Kate Makarova,0,0,0,0,0,0
Grass,Petra Kvitova,0,0,0,0,0,Barbora Strycova,0,0,0,0,0,0
Grass,Eugenie Bouchard,82,40,80,36,2,Simona Halep,44,26,57,34,2,2
Grass,Petra Kvitova,0,0,0,0,0,Lucie Safarova,0,0,0,0,0,0
Grass,Petra Kvitova,76,50,64,22,5,Eugenie Bouchard,82,40,80,36,2,2
Hard,Serena Williams,46,35,49,25,5,Kaia Kanepi,57,27,45,14,1,2
Hard,Flavia Pennetta,0,0,0,0,0,Casey Dellacqua,0,0,0,0,0,0
Hard,Victoria Azarenka,0,0,0,0,0,Aleksandra Krunic,0,0,0,0,0,0
Hard,Kate Makarova,448,236,403,166,15,Eugenie Bouchard,462,250,422,194,8,14
Hard,Belinda Bencic,63,37,64,22,3,Jelena Jankovic,89,54,85,46,1,2
Hard,Shuai Peng,375,200,363,151,7,Lucie Safarova,364,211,386,139,14,12
Hard,Caroline Wozniacki,225,136,238,114,8,Maria Sharapova,273,156,325,130,11,8
Hard,Sara Errani,0,0,0,0,0,Mirjana Lucic,0,0,0,0,0,0
Hard,Serena Williams,570,361,558,280,53,Flavia Pennetta,528,269,542,245,18,20
Hard,Kate Makarova,682,373,618,263,30,Victoria Azarenka,854,452,866,463,22,23
Hard,Shuai Peng,188,101,188,73,7,Belinda Bencic,114,61,115,41,3,4
Hard,Caroline Wozniacki,1178,652,1173,522,20,Sara Errani,1081,547,1079,519,1,31
Hard,Serena Williams,1542,985,1446,727,160,Kate Makarova,1015,582,999,440,40,40
Hard,Caroline Wozniacki,658,402,637,286,10,Shuai Peng,481,260,466,197,10,15
Hard,Serena Williams,1381,901,1395,670,150,Caroline Wozniacki,1453,824,1378,640,24,47
Hard,Serena Williams,1381,901,1395,670,150,Caroline Wozniacki,1453,824,1378,640,24,47
Hard,Simona Halep,1154,648,1177,572,40,Agnieszka Radwanska,1599,925,1562,714,63,49
Hard,Serena Williams,1106,737,1095,532,128,Simona Halep,774,411,782,374,16,36
Hard,Caroline Wozniacki,980,565,944,429,20,Agnieszka Radwanska,1061,610,1072,451,33,34
Hard,Caroline Wozniacki,954,536,989,427,15,Petra Kvitova,1021,607,1030,447,53,29
Hard,Agnieszka Radwanska,1882,1080,1923,875,62,Petra Kvitova,1747,980,1792,796,84,57
Hard,Caroline Wozniacki,225,136,238,114,8,Maria Sharapova,273,156,325,130,11,8
Hard,Maria Sharapova,819,498,906,422,57,Agnieszka Radwanska,1233,699,1172,541,50,34
Hard,Petra Kvitova,1388,784,1414,628,67,Maria Sharapova,888,559,967,488,60,39
Hard,Ana Ivanovic,287,168,300,126,9,Eugenie Bouchard,393,204,352,157,9,12
Hard,Ana Ivanovic,994,580,1017,510,55,Simona Halep,836,460,784,367,15,32
Hard,Simona Halep,622,362,704,317,23,Eugenie Bouchard,816,427,755,342,18,22
Hard,Serena Williams,1805,1148,1738,852,186,Ana Ivanovic,1427,785,1440,656,66,52
Hard,Serena Williams,866,562,809,381,84,Eugenie Bouchard,615,333,589,265,12,24
Hard,Simona Halep,774,411,782,374,16,Serena Williams,1106,737,1095,532,128,36
